9.28,19,170
6.21,0,418
9.1,117,874
4.83,27,11
9.48,36,710
14.84,35,822
16.36,4,43
3.36,0,498
10.96,34,701
3.41,45,331
1.29,91,746
13.33,8,834
8.6,107,997
3.05,99,854
4.44,111,548
2.53,13,430
7.05,27,828
19.57,63,721
1.84,1,280
13.98,42,983
4.89,60,102
17.87,67,728
1.6,2,843
8.53,101,119
19.74,115,926
3.85,16,624
11.5,91,801
18.64,88,592
3.19,114,923
12.04,115,690
6.14,91,916
17.59,91,792
11.03,1,859
7.81,63,964
14.95,58,469
14.46,40,31
7.76,25,827
13.17,108,436
16.11,54,377
5.38,42,27
17.23,3,478
10.09,40,363
6.74,99,604
3.54,106,575
18.82,18,845
10.36,69,152
19.06,84,205
17.68,42,566
10.78,100,363
7.64,47,452
4.62,102,162
16.4,41,418
16.79,74,910
2.52,73,543
1.86,63,31
17.04,82,65
16.93,13,370
13.77,41,429
19.73,42,764
13.26,100,903
1.08,87,595
2.65,106,940
1.22,21,37
18.51,120,29
7.19,116,908
11.02,21,631
12.54,120,348
9.78,91,771
12.76,78,530
1.7,105,290
17.06,63,951
16.11,90,639
17.36,60,569
11.59,72,752
2.82,101,870
8.07,54,472
8.33,7,352
1.76,57,15
5.06,72,387
11.88,26,517
2.9,77,538
6.59,14,2
1.51,58,414
3.95,30,245
1.99,74,931
19.65,45,363
11.83,41,863
19.79,44,873
6.23,83,616
18.33,42,284
10.76,24,954
19.55,86,272
13.81,43,543
13.44,11,93
3.82,36,34
19.66,90,12
17.66,103,543
9.41,17,873
15.96,73,598
4.71,40,741
5.54,64,843
11.58,45,865
1.53,102,198
6.48,104,21
11.33,81,582
4.22,10,906
15.35,75,347
16.68,67,49
6.23,105,870
1.64,26,241
9.26,89,91
11.4,86,358
10.43,107,455
4.36,66,775
12.93,44,379
16.33,28,493
17.87,77,96
2.18,17,311
9.8,57,686
3.15,18,213
4.93,13,50
2.32,51,223
4.79,99,477
4.82,54,484
16.32,23,840
5.85,79,692
4.91,42,490
10.03,114,851
2.25,90,71
19.05,107,971
9.11,66,962
18.1,26,256
16.27,106,202
1.52,58,6
16.29,118,127
8.21,88,968
18.01,4,330
10.59,30,716
18.25,84,572
16.93,114,790
6.1,109,911
5.83,75,117
14.51,83,639
13.66,20,613
12.96,84,845
18.05,94,287
15.41,73,761
11.12,100,286
5.68,96,441
1.91,33,796
2.09,36,181
8.54,113,592
17.62,7,120
10.32,83,268
11.94,96,680
12.19,16,793
8.61,70,697
17.68,33,296
13.55,107,502
19.13,74,329
15.29,60,786
18.46,56,351
14.18,1,196
3.88,76,818
3.48,26,50
2.56,22,27
11.84,113,740
13.87,39,842
14.51,48,646
15.5,102,22
9.65,106,15
11.2,59,201
11.66,61,6
14.35,103,575
4.75,114,963
12.48,95,956
6.24,38,289
3.4,63,206
16.66,77,548
18.06,77,966
15.39,111,190
15.66,116,789
14.18,43,621
14.71,100,33
10.82,61,923
8.26,53,198
11.08,85,618
6.97,64,660
16.7,22,128
12.47,20,709
11.79,0,7
11.13,120,846
7.32,32,731
17.76,113,680
18.11,80,492
17.95,36,2
15.03,18,271
11.16,40,90
9.37,4,390
6.73,81,180
9.29,74,490
3.96,4,523
13.48,68,461
7.73,55,199
6.16,110,781
6.6,117,333
7.16,113,127
15.04,74,96
19.01,112,664
18.4,55,225
2.72,17,694
9.25,90,731
11.35,2,414
5.63,25,735
13.77,17,501
17.62,60,654
18.02,107,723
7.61,6,661
13.7,21,283
9.7,16,807
6.54,58,866
7.2,11,897
19.73,43,439
12.39,57,284
13.77,100,634
14.29,48,588
6.62,78,741
8.09,18,553
2.62,22,382
8.06,93,677
4.96,16,712
10.8,74,141
13.58,109,363
8.04,31,479
14.06,71,213
1.32,22,781
17.1,47,784
10.75,90,404
18.13,76,108
16.09,67,732
18.56,102,737
16.08,75,496
7.27,40,96
18.97,20,185
11.16,84,257
11.11,54,507
16.33,117,94
5.84,22,514
8.93,87,91
7.26,73,748
7.12,64,684
15.82,10,487
8.65,87,518
5.42,12,829
5.84,27,114
18.27,53,662
19.45,47,802
17.98,42,383
19.63,93,188
6.72,95,778
5.27,103,703
15.07,64,874
9.97,64,641
12.52,72,639
14.11,35,266
7.62,86,946
9.71,21,12
10.36,6,605
7.06,106,918
17.39,107,539
15.07,75,411
9.59,111,682
13.76,105,240
2.73,49,444
16.31,97,741
14.87,77,823
18.09,31,709
10.34,73,987
4.02,45,136
8.91,94,507
19.33,9,576
19.11,111,772
2.8,52,120
18.16,95,565
4.8,66,402
15.55,14,622
6.71,15,881
4.5,55,129
19.61,3,534
2.64,19,678
19.91,59,778
13.32,68,344
15.89,51,621
3.21,89,871
1.21,47,783
12.83,80,109
19.08,94,190
17.85,10,210
11.87,82,478
1.95,116,389
14.76,98,768
8.21,76,78
11.58,66,112
3.88,15,974
4.56,61,571
16.91,31,136
7.15,89,741
9.81,2,268
6.61,52,109
13.19,59,965
19.53,96,649
6.1,114,393
19.01,87,469
8.64,74,386
17.37,62,810
8.6,22,827
5.16,24,86
19.69,108,556
18.7,77,319
6.01,48,710
17.92,34,187
5.41,118,193
3.22,3,466
13.09,42,467
8.57,19,454
16.42,109,738
10.85,83,208
8.57,5,37
3.79,97,390
8.21,19,967
3.19,116,11
6.71,114,240
4.01,111,285
4.15,63,834
17.97,18,951
6.44,77,162
18.78,84,294
9.93,41,797
11.2,45,13
11.78,93,498
9.82,8,599
9.35,61,384
13.26,112,520
3.73,20,413
5.0,10,799
17.94,17,438
9.05,115,151
1.51,70,333
2.91,115,855
13.64,92,339
12.81,78,212
13.91,66,715
1.55,45,731
6.09,51,698
13.42,57,636
14.09,112,664
1.1,56,968
10.39,38,734
16.91,54,309
1.94,33,725
17.04,111,81
8.14,80,974
9.67,84,493
2.21,63,458
10.47,42,74
2.29,82,398
2.45,103,25
15.34,54,109
2.32,69,354
15.58,105,729
8.4,117,322
15.06,102,802
18.47,47,214
11.33,114,545
8.81,17,734
9.42,44,49
14.45,120,640
16.7,32,92
6.8,6,832
13.47,35,844
16.33,27,383
7.34,31,123
10.27,116,747
8.06,39,821
13.41,95,42
10.28,101,64
2.77,34,790
19.01,79,466
11.32,4,887
18.66,105,427
11.56,16,347
10.03,116,981
18.58,43,443
16.73,74,343
19.63,48,444
15.46,61,667
17.82,79,171
19.88,103,479
8.04,105,738
11.23,105,577
19.44,79,756
18.86,42,970
2.89,74,225
6.57,59,572
12.66,98,632
5.14,78,165
1.51,49,46
8.9,20,819
16.61,21,66
8.36,45,376
6.8,87,124
6.99,82,158
11.32,34,251
16.58,106,421
15.44,9,222
2.21,114,280
11.84,70,987
9.23,91,817
6.93,42,812
6.86,96,805
12.4,72,632
4.43,76,505
6.68,9,639
11.3,6,445
12.68,72,144
3.77,28,11
3.68,24,332
3.41,57,302
12.01,48,566
14.99,60,615
11.61,96,319
7.06,94,969
17.45,95,507
1.85,118,326
9.55,28,249
7.83,46,937
14.97,117,631
9.69,68,30
10.86,109,286
11.4,88,749
2.08,92,248
9.46,79,266
10.84,11,686
11.45,81,141
13.73,91,813
11.66,58,428
13.74,98,318
5.5,43,93
6.94,54,656
19.94,6,559
7.28,27,772
5.66,82,967
11.22,24,299
10.98,112,429
12.01,24,631
2.24,45,668
9.66,83,648
11.26,98,163
14.11,100,154
3.97,60,688
16.98,72,34
2.91,60,696
16.21,80,637
9.54,82,172
3.93,36,80
13.37,106,724
6.2,72,382
8.94,36,256
5.71,16,161
13.15,14,385
1.73,112,44
12.52,111,811
16.4,117,504
1.46,117,478
6.38,66,218
8.31,92,295
12.25,54,270
13.93,95,965
12.14,120,468
3.55,56,436
17.44,8,818
2.2,105,20
7.65,57,982
12.47,5,92
10.62,106,460
5.08,76,787
16.28,80,959
3.76,55,192
17.28,102,709
13.7,81,292
4.67,54,861
9.46,120,23
16.46,35,753
8.9,59,198
10.58,40,138
