17,951
16,971
48,773
19,579
40,947
41,17
46,287
6,689
43,310
26,91
49,406
9,129
19,628
24,209
45,480
32,228
25,184
50,948
13,72
29,193
49,256
15,718
17,929
43,872
29,990
26,537
50,790
41,573
23,825
24,648
14,300
22,297
44,196
11,905
16,980
2,129
34,981
17,531
46,185
16,980
12,264
50,546
47,342
4,995
44,186
48,113
38,729
15,398
29,462
25,236
47,500
30,361
14,729
37,604
36,746
17,598
22,845
39,706
34,591
17,727
13,500
44,550
12,559
44,787
18,929
26,701
14,247
30,706
29,410
43,153
44,275
48,996
26,59
4,18
2,969
3,823
17,827
46,304
12,132
26,947
20,978
27,649
12,350
46,888
10,331
23,580
13,771
12,378
36,668
3,570
48,4
13,430
4,443
32,50
6,867
23,709
6,581
14,532
38,90
40,773
43,67
47,303
14,749
19,347
43,15
44,570
6,254
33,865
8,857
50,202
37,505
30,870
20,839
21,378
24,776
7,621
29,951
46,851
15,841
40,295
27,605
36,656
49,413
30,842
24,951
34,787
24,600
45,343
11,657
26,728
42,240
7,83
10,830
36,37
50,836
20,747
26,596
47,665
48,637
16,136
24,265
3,441
6,739
46,56
23,107
37,837
45,561
14,385
35,234
35,195
21,64
6,945
36,956
29,565
36,180
41,682
18,813
47,339
50,827
48,936
11,907
45,608
40,799
1,721
47,76
12,662
50,518
9,50
41,559
45,404
16,864
16,206
24,466
37,600
42,482
28,207
20,835
35,996
38,816
26,283
23,999
20,678
42,565
13,718
28,425
7,563
20,391
44,649
29,466
47,655
50,318
6,79
11,201
2,26
9,732
25,670
26,74
30,139
6,105
30,694
13,608
47,628
4,797
10,453
32,3
25,300
29,648
44,278
33,772
27,592
44,466
46,771
38,821
35,202
3,397
12,50
35,801
27,838
13,117
43,387
30,926
10,18
28,670
19,99
38,309
19,134
44,721
31,389
31,158
27,235
2,526
49,740
26,567
3,173
35,996
11,619
29,250
38,125
26,380
35,145
35,574
47,745
39,7
44,11
21,770
29,658
24,217
22,741
3,760
48,923
14,27
3,349
25,820
33,168
4,361
48,223
12,999
35,1000
25,663
35,387
26,817
23,830
37,418
37,129
12,57
31,110
24,560
9,388
29,675
45,213
16,926
7,100
1,247
39,768
40,471
7,229
40,163
33,22
42,430
30,320
9,830
46,223
1,335
30,895
49,301
42,746
13,282
9,561
15,219
50,846
14,498
6,54
46,869
44,885
24,229
1,585
17,657
20,926
19,175
35,337
42,641
49,862
5,857
19,409
7,639
40,288
49,113
16,840
21,837
41,16
5,221
40,677
42,18
27,624
15,346
14,855
39,834
49,991
20,413
39,481
36,186
10,381
46,545
10,260
31,945
6,782
30,155
36,470
47,801
9,811
22,56
34,399
18,594
34,478
35,524
5,730
23,210
30,580
45,342
22,798
40,346
3,130
50,257
2,732
49,358
23,188
24,284
9,55
11,67
11,792
46,473
41,857
28,961
23,579
26,777
21,309
36,397
7,950
38,296
38,739
46,70
13,639
37,751
48,777
43,104
2,70
32,634
27,640
15,738
15,202
31,44
11,640
14,216
7,662
35,326
40,852
30,178
24,638
21,867
23,172
15,319
34,407
9,309
50,194
9,147
13,45
16,16
12,144
42,919
34,194
22,486
11,729
18,178
4,748
1,384
42,356
2,629
18,407
31,454
2,481
33,134
27,155
49,154
9,381
40,746
19,820
25,496
19,367
4,16
20,842
32,275
23,236
11,499
21,831
8,471
32,45
11,235
5,798
25,409
9,901
43,445
46,716
10,761
38,619
5,824
28,276
28,607
30,319
7,443
46,616
9,13
42,741
7,657
14,760
36,665
31,194
34,974
48,378
24,27
2,29
25,971
15,495
1,253
6,754
26,53
25,485
23,954
33,994
32,774
37,10
32,814
46,671
18,659
12,512
2,793
37,960
22,35
32,109
46,844
30,903
49,287
31,544
46,323
19,465
43,611
10,280
19,82
23,942
28,370
3,172
28,192
34,83
47,578
4,710
8,516
14,811
39,760
18,907
19,116
39,592
47,537
2,427
43,32
37,480
6,85
5,105
21,238
19,812
17,953
6,374
7,372
5,617
40,695
21,763
7,926
29,133
23,303
1,251
14,101
19,528
9,999
16,752
47,536
49,654
7,292
17,870
15,66
21,347
48,697
49,237
11,639
3,206
4,611
46,569
4,71
39,290
47,866
14,430
5,960
26,462
28,907
15,212
19,914
22,152
47,41
16,640
40,240
45,614
37,416
41,603
47,280
18,22
9,49
40,256
19,19
7,921
50,596
27,648
43,290
36,439
45,748
7,983
12,407
20,8
5,764
15,600
1,38
15,844
19,370
43,794
12,988
26,137
27,677
15,296
12,921
16,728
6,501
21,16
30,816
28,343
45,307
24,122
28,969
31,330
2,794
32,312
46,233
29,18
46,945
1,665
33,159
44,377
42,946
13,976
50,697
10,695
32,977
17,198
3,505
44,291
1,488
22,499
38,594
26,176
20,252
2,838
25,740
23,276
49,215
40,381
34,556
5,625
38,781
23,927
18,921
16,40
3,711
20,348
43,643
2,398
45,897
17,405
24,188
28,519
9,835
46,711
5,464
20,994
7,743
46,561
22,332
44,118
20,809
31,755
19,822
39,232
30,215
12,25
44,660
23,626
47,210
19,589
31,923
5,961
37,257
49,56
19,469
11,44
6,10
19,418
41,267
23,38
22,958
28,529
17,775
17,721
11,997
11,325
27,454
44,718
36,554
25,298
37,540
48,404
1,739
23,738
48,159
45,479
43,475
46,794
37,195
20,227
25,472
17,226
13,212
22,125
50,65
11,681
8,532
39,721
7,78
7,759
24,455
15,35
27,215
6,705
21,873
44,301
18,50
48,524
22,630
43,294
4,683
20,812
5,445
13,983
1,587
33,918
27,194
49,382
26,163
36,310
15,728
49,247
26,94
44,420
43,457
32,860
42,601
37,88
18,160
40,751
42,588
50,678
41,131
43,43
6,912
29,626
49,649
25,437
34,998
24,45
48,289
2,193
19,550
7,866
41,416
41,546
25,14
28,227
34,427
25,800
26,7
3,383
31,63
26,14
26,328
34,158
27,935
28,904
20,24
17,708
7,79
48,611
47,294
49,654
40,855
37,444
45,480
11,65
50,421
20,647
10,829
6,377
7,100
21,390
33,422
35,239
16,967
16,252
27,71
12,878
34,442
31,998
33,798
25,699
24,823
35,40
11,559
28,194
17,606
12,708
23,122
49,601
33,84
3,915
42,530
29,479
18,897
16,79
29,989
16,779
13,362
29,229
48,834
22,346
21,371
9,810
33,390
49,757
24,199
29,701
48,569
35,165
3,717
49,219
26,190
18,673
2,966
34,995
3,461
7,262
39,239
32,618
24,481
46,398
31,930
6,927
36,655
50,205
21,898
45,595
9,515
50,682
18,319
28,356
27,50
21,428
32,584
41,435
47,132
1,466
19,939
28,747
20,867
33,239
4,782
29,194
37,153
13,573
12,823
30,293
37,98
15,643
2,355
13,792
36,244
43,278
11,570
36,685
20,167
24,38
30,703
36,34
2,913
45,737
46,125
17,230
37,832
7,351
3,473
13,952
39,325
27,400
23,310
31,981
9,349
12,221
36,377
4,330
27,844
28,566
41,750
21,567
23,198
35,555
15,756
46,885
10,621
17,772
16,588
48,880
46,202
12,525
34,320
20,763
31,67
30,99
13,270
6,691
32,442
31,928
35,373
15,986
9,384
24,327
32,597
28,781
2,553
13,743
26,333
8,655
29,348
21,320
15,16
38,448
