01/02/2022,26.77,,103.08,811
11/04/2024,44.26,,136.75,16
22/10/2021,32.74,1.65,56.24,786
28/10/2024,36.05,,141.2,683
14/01/2025,33.09,,105.01,273
06/08/2023,40.57,2.3,78.12,324
29/09/2025,36.82,,59.98,423
29/08/2024,35.53,,72.37,956
28/10/2020,20.78,,84.59,92
15/11/2022,19.73,,53.71,448
12/05/2021,43.79,,113.67,685
02/08/2025,27.02,,104.65,1000
02/07/2025,35.13,,66.84,759
15/03/2021,33.94,,148.43,727
07/05/2021,32.73,,74.32,248
08/02/2024,30.49,,54.66,809
23/07/2025,36.76,,59.89,713
10/02/2021,19.5,,56.5,594
16/01/2025,25.56,2.7,63.11,783
17/02/2023,21.06,1.26,90.33,961
18/06/2021,23.98,,67.97,308
07/02/2020,39.16,2.95,125.99,133
06/02/2025,41.31,,77.43,160
16/10/2025,36.48,,65.11,658
01/10/2024,19.35,,138.79,300
10/08/2022,44.19,2.88,114.76,848
05/08/2023,40.77,2.39,149.36,151
31/05/2022,31.81,,62.83,284
12/08/2020,39.46,,116.38,927
22/10/2024,31.54,1.41,54.07,197
10/09/2024,40.39,,72.43,297
22/06/2023,39.9,,129.25,638
20/09/2022,36.3,,145.02,456
10/10/2020,18.18,,111.83,229
07/06/2023,38.27,1.36,122.01,942
04/11/2024,30.73,,135.97,240
14/09/2025,34.98,,50.18,651
11/10/2022,37.3,,66.14,69
07/09/2025,40.27,1.97,81.84,209
28/02/2022,31.69,,126.81,761
30/06/2025,21.85,,104.01,517
20/07/2024,24.72,,94.09,369
21/11/2025,35.06,1.37,76.8,512
19/03/2023,31.98,,81.44,59
07/05/2020,38.42,,91.98,866
05/01/2022,29.39,1.91,143.97,667
29/10/2021,39.37,,69.32,989
08/10/2022,27.05,1.62,75.68,395
16/01/2021,39.59,,99.36,853
18/05/2020,42.77,,124.88,451
04/07/2025,36.86,,113.27,981
15/02/2025,21.09,1.28,141.72,980
13/06/2025,43.82,2.37,131.58,664
06/11/2021,35.22,1.36,133.47,111
17/05/2024,33.07,,91.36,802
25/05/2023,38.65,,61.39,738
25/08/2023,26.2,,59.01,241
23/02/2022,32.72,1.01,109.71,357
17/06/2021,33.34,2.71,137.88,233
01/11/2025,37.8,1.03,106.72,767
27/01/2025,28.21,,126.01,588
15/06/2021,39.49,2.33,145.11,325
07/10/2025,21.38,,110.17,689
28/12/2025,38.06,,72.57,47
16/03/2023,32.41,,142.16,191
22/07/2023,25.41,,104.9,343
28/02/2021,19.46,2.36,55.17,120
20/04/2025,35.13,,119.91,63
16/12/2021,36.38,,136.92,404
21/05/2024,42.32,2.54,71.34,909
10/02/2021,25.41,,61.27,721
04/09/2024,40.56,2.95,58.14,480
15/08/2021,37.66,1.68,85.93,98
27/05/2024,36.16,2.78,68.61,639
05/03/2022,32.67,,146.47,492
26/05/2020,18.25,,138.73,553
01/05/2020,30.41,2.86,96.86,214
29/05/2024,39.33,,72.29,279
24/06/2021,22.22,2.99,117.91,217
26/07/2025,20.28,,83.07,858
13/05/2024,35.47,2.59,87.48,794
21/05/2022,42.41,2.92,120.0,651
19/12/2021,39.38,2.43,69.37,601
05/07/2021,28.92,,88.76,958
12/06/2024,29.73,,59.42,531
01/11/2022,23.49,,133.98,316
03/10/2024,22.21,1.11,92.23,790
12/02/2022,43.91,1.23,55.04,914
10/04/2021,25.12,1.61,116.43,678
01/07/2024,20.84,2.74,62.7,287
12/06/2021,32.94,1.47,149.74,247
18/03/2023,35.73,2.93,142.49,619
11/10/2022,25.15,,145.44,459
03/07/2020,23.14,,99.15,418
22/08/2023,44.82,2.0,52.43,42
15/08/2024,21.14,1.51,54.42,706
12/09/2025,42.47,,137.57,87
13/01/2020,37.74,1.25,73.23,687
21/04/2023,35.87,,139.36,149
22/11/2024,18.31,1.68,128.3,317
13/07/2022,30.45,2.69,95.95,57
02/01/2023,42.67,,119.74,35
26/10/2023,40.33,,124.31,469
14/04/2022,28.58,,116.6,48
20/05/2024,30.74,,88.57,923
14/06/2025,27.69,,120.59,972
02/02/2024,36.25,2.78,105.19,467
26/02/2021,22.35,,63.35,319
21/07/2024,31.59,,140.19,947
05/03/2024,36.54,,98.87,777
28/01/2021,42.05,1.48,75.82,933
16/10/2021,39.43,2.56,67.5,117
24/10/2024,33.47,1.65,73.35,115
11/06/2023,33.71,2.77,72.96,331
13/04/2020,26.09,1.98,116.47,889
11/08/2022,28.0,2.33,104.08,210
16/06/2020,20.99,,87.73,594
29/01/2024,44.75,2.96,76.33,822
01/10/2024,27.52,,123.13,571
10/04/2021,27.15,,103.24,870
01/03/2021,27.82,,137.5,687
30/06/2021,27.76,,113.65,463
29/03/2020,26.88,,132.21,44
18/01/2021,31.31,1.51,145.72,688
13/04/2024,25.82,2.91,131.86,849
23/07/2025,32.75,1.71,146.56,37
12/12/2021,23.05,1.64,63.35,587
23/09/2025,31.25,1.69,69.09,727
01/02/2024,22.0,2.49,148.78,575
05/05/2020,39.12,,63.23,478
26/04/2022,34.97,,92.72,19
09/05/2025,37.23,2.61,56.87,207
08/11/2023,33.03,2.86,91.87,462
14/05/2021,38.42,2.71,133.83,86
15/06/2025,32.39,1.66,67.73,922
07/05/2024,40.37,2.26,91.66,514
11/03/2023,26.64,,122.52,68
18/08/2021,39.65,2.13,149.95,705
20/01/2021,20.07,2.89,65.95,587
07/08/2022,25.76,,121.42,689
28/11/2024,24.21,2.0,117.74,587
08/08/2024,25.46,,128.81,91
17/02/2022,25.85,,114.5,132
05/09/2023,26.4,,94.64,652
11/06/2024,37.64,,76.16,136
15/04/2022,39.76,,105.6,948
28/08/2023,34.12,1.02,123.88,589
23/05/2021,21.86,,95.57,96
07/06/2020,36.0,1.88,115.99,612
14/02/2025,44.7,2.95,107.77,533
01/05/2023,31.45,1.86,50.91,89
19/08/2025,43.13,,60.79,11
02/11/2023,25.84,,91.18,475
11/08/2021,41.32,2.67,92.92,257
28/12/2025,29.18,1.22,66.67,951
03/09/2020,31.7,,131.96,72
08/04/2023,29.72,,53.45,511
03/09/2024,44.11,1.03,106.71,438
16/10/2023,28.13,3.0,101.17,984
09/12/2022,33.73,1.14,120.74,923
04/06/2022,21.98,,124.32,319
28/08/2023,34.63,,137.03,170
27/12/2021,25.31,2.96,116.33,668
10/08/2025,21.09,,91.12,118
28/06/2023,32.8,2.56,138.83,599
08/02/2020,39.77,,146.97,998
